name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,cyl,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm
cam_journals_r_ex,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,3136,3136,-169.9,143.8,123.9,153.9,179.1,209.1
cam_journals_r_in,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,3136,3136,-169.9,143.8,179.1,209.1,123.9,153.9
camcover_bolts_l,03 Heads and Valvetrain,titanium,,,,,,,,,,2904,3432,-214.2,214.2,145.4,234.0,134.1,222.7
camcover_bolts_r,03 Heads and Valvetrain,titanium,,,,,,,,,,2904,3432,-214.2,214.2,-222.7,-134.1,145.4,234.0
camcover_l,03 Heads and Valvetrain,magnesium,,,,,,,,,,1836,1586,-221.0,221.0,147.7,245.0,144.9,242.2
camcover_r,03 Heads and Valvetrain,magnesium,,,,,,,,,,1836,1586,-221.0,221.0,-242.2,-144.9,147.7,245.0
camlobe_l_ex_1_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-181.2,-170.2,-152.4,-113.2,180.6,207.6
camlobe_l_ex_1_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-154.8,-143.8,-152.4,-113.2,180.6,207.6
camlobe_l_ex_3_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-79.2,-68.2,-152.4,-125.4,180.6,219.9
camlobe_l_ex_3_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-52.8,-41.8,-152.4,-125.4,180.6,219.9
camlobe_l_ex_5_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,22.8,33.8,-161.8,-125.4,174.8,207.6
camlobe_l_ex_5_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,49.2,60.2,-161.8,-125.4,174.8,207.6
camlobe_l_ex_7_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,124.8,135.8,-152.4,-119.6,171.3,207.6
camlobe_l_ex_7_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,151.2,162.2,-152.4,-119.6,171.3,207.6
camlobe_l_in_1_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-181.2,-170.2,-207.6,-180.6,125.4,164.8
camlobe_l_in_1_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-154.8,-143.8,-207.6,-180.6,125.4,164.8
camlobe_l_in_3_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-79.2,-68.2,-220.0,-180.6,125.4,152.4
camlobe_l_in_3_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-52.8,-41.8,-220.0,-180.6,125.4,152.4
camlobe_l_in_5_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,22.8,33.8,-207.6,-171.5,119.1,152.4
camlobe_l_in_5_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,49.2,60.2,-207.6,-171.5,119.1,152.4
camlobe_l_in_7_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,124.8,135.8,-207.6,-174.2,125.4,161.5
camlobe_l_in_7_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,151.2,162.2,-207.6,-174.2,125.4,161.5
camlobe_r_ex_2_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-162.2,-151.2,125.4,152.4,168.3,207.6
camlobe_r_ex_2_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-135.8,-124.8,125.4,152.4,168.3,207.6
camlobe_r_ex_4_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-60.2,-49.2,125.4,164.7,180.6,207.6
camlobe_r_ex_4_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-33.8,-22.8,125.4,164.7,180.6,207.6
camlobe_r_ex_6_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,41.8,52.8,125.5,158.3,180.6,216.9
camlobe_r_ex_6_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,68.2,79.2,125.5,158.3,180.6,216.9
camlobe_r_ex_8_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,143.8,154.8,116.1,152.4,180.6,213.4
camlobe_r_ex_8_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,170.2,181.2,116.1,152.4,180.6,213.4
camlobe_r_in_2_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-162.2,-151.2,168.2,207.6,125.4,152.4
camlobe_r_in_2_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-135.8,-124.8,168.2,207.6,125.4,152.4
camlobe_r_in_4_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-60.2,-49.2,180.6,207.6,113.1,152.4
camlobe_r_in_4_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,-33.8,-22.8,180.6,207.6,113.1,152.4
camlobe_r_in_6_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,41.8,52.8,180.6,214.0,116.4,152.4
camlobe_r_in_6_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,68.2,79.2,180.6,214.0,116.4,152.4
camlobe_r_in_8_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,143.8,154.8,180.6,216.7,125.4,158.8
camlobe_r_in_8_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,440,332,170.2,181.2,180.6,216.7,125.4,158.8
camshaft_l_ex,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1628,1628,-254.0,228.0,-153.3,-124.5,179.7,208.5
camshaft_l_in,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1628,1628,-254.0,228.0,-208.5,-179.7,124.5,153.3
camshaft_r_ex,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1628,1628,-254.0,228.0,124.5,153.3,179.7,208.5
camshaft_r_in,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1628,1628,-254.0,228.0,179.7,208.5,124.5,153.3
coil_1,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,-173.5,-151.5,-195.5,-131.5,131.5,195.5
coil_2,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,-154.5,-132.5,131.5,195.5,131.5,195.5
coil_3,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,-71.5,-49.5,-195.5,-131.5,131.5,195.5
coil_4,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,-52.5,-30.5,131.5,195.5,131.5,195.5
coil_5,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,30.5,52.5,-195.5,-131.5,131.5,195.5
coil_6,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,49.5,71.5,131.5,195.5,131.5,195.5
coil_7,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,132.5,154.5,-195.5,-131.5,131.5,195.5
coil_8,03 Heads and Valvetrain,rubber_blk,,,,,,,,,,520,592,151.5,173.5,131.5,195.5,131.5,195.5
collets_ex_1_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-177.3,-171.3,-133.9,-121.7,166.0,178.6
collets_ex_1_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-147.7,-141.7,-133.9,-121.7,166.0,178.6
collets_ex_2_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-158.3,-152.3,121.7,133.9,166.0,178.6
collets_ex_2_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-128.7,-122.7,121.7,133.9,166.0,178.6
collets_ex_3_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-75.3,-69.3,-133.9,-121.7,166.0,178.6
collets_ex_3_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-45.7,-39.7,-133.9,-121.7,166.0,178.6
collets_ex_4_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-56.3,-50.3,121.7,133.9,166.0,178.6
collets_ex_4_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-26.7,-20.7,121.7,133.9,166.0,178.6
collets_ex_5_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,26.7,32.7,-133.9,-121.7,166.0,178.6
collets_ex_5_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,56.3,62.3,-133.9,-121.7,166.0,178.6
collets_ex_6_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,45.7,51.7,121.7,133.9,166.0,178.6
collets_ex_6_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,75.3,81.3,121.7,133.9,166.0,178.6
collets_ex_7_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,128.7,134.7,-133.9,-121.7,166.0,178.6
collets_ex_7_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,158.3,164.3,-133.9,-121.7,166.0,178.6
collets_ex_8_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,147.7,153.7,121.7,133.9,166.0,178.6
collets_ex_8_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,177.3,183.3,121.7,133.9,166.0,178.6
collets_in_1_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-179.8,-173.8,-180.1,-167.6,120.1,132.6
collets_in_1_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-145.2,-139.2,-180.1,-167.6,120.1,132.6
collets_in_2_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-160.8,-154.8,167.6,180.1,120.1,132.6
collets_in_2_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-126.2,-120.2,167.6,180.1,120.1,132.6
collets_in_3_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-77.8,-71.8,-180.1,-167.6,120.1,132.6
collets_in_3_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-43.2,-37.2,-180.1,-167.6,120.1,132.6
collets_in_4_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-58.8,-52.8,167.6,180.1,120.1,132.6
collets_in_4_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,-24.2,-18.2,167.6,180.1,120.1,132.6
collets_in_5_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,24.2,30.2,-180.1,-167.6,120.1,132.6
collets_in_5_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,58.8,64.8,-180.1,-167.6,120.1,132.6
collets_in_6_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,43.2,49.2,167.6,180.1,120.1,132.6
collets_in_6_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,77.8,83.8,167.6,180.1,120.1,132.6
collets_in_7_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,126.2,132.2,-180.1,-167.6,120.1,132.6
collets_in_7_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,160.8,166.8,-180.1,-167.6,120.1,132.6
collets_in_8_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,145.2,151.2,167.6,180.1,120.1,132.6
collets_in_8_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,1152,1145,179.8,185.8,167.6,180.1,120.1,132.6
head_gasket_l,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,4152,4096,-230.5,211.5,-141.1,-40.3,40.3,141.1
head_gasket_r,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,4152,4096,-211.5,230.5,40.3,141.1,40.3,141.1
head_l,03 Heads and Valvetrain,alu_cast,,,,,,,,,,8736,9866,-237.3,218.3,-215.1,-47.4,58.7,224.4
head_r,03 Heads and Valvetrain,alu_cast,,,,,,,,,,8736,9866,-218.3,237.3,47.4,215.1,58.7,224.4
injector_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,-162.5,-100.5,-142.1,-123.1,66.5,85.5
injector_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,-143.5,-81.5,123.1,142.1,66.5,85.5
injector_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,-60.5,1.5,-142.1,-123.1,66.5,85.5
injector_4,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,-41.5,20.5,123.1,142.1,66.5,85.5
injector_5,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,41.5,103.5,-142.1,-123.1,66.5,85.5
injector_6,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,60.5,122.5,123.1,142.1,66.5,85.5
injector_7,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,143.5,205.5,-142.1,-123.1,66.5,85.5
injector_8,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,668,740,162.5,224.5,123.1,142.1,66.5,85.5
oil_filler_l,03 Heads and Valvetrain,anodised,,,,,,,,,,372,444,-205.0,-159.0,193.4,234.4,182.1,223.1
oil_filler_r,03 Heads and Valvetrain,anodised,,,,,,,,,,372,444,-205.0,-159.0,-223.1,-182.1,193.4,234.4
sparkplug_1,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,-168.9,-156.1,-136.3,-112.5,112.5,136.3
sparkplug_2,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,-149.9,-137.1,112.5,136.3,112.5,136.3
sparkplug_3,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,-66.9,-54.1,-136.3,-112.5,112.5,136.3
sparkplug_4,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,-47.9,-35.1,112.5,136.3,112.5,136.3
sparkplug_5,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,35.1,47.9,-136.3,-112.5,112.5,136.3
sparkplug_6,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,54.1,66.9,112.5,136.3,112.5,136.3
sparkplug_7,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,137.1,149.9,-136.3,-112.5,112.5,136.3
sparkplug_8,03 Heads and Valvetrain,anodised,,,,,,,,,,594,666,156.1,168.9,112.5,136.3,112.5,136.3
valve_ex_1_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-191.8,-162.8,-131.9,-67.3,92.5,177.4
valve_ex_1_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-162.2,-133.2,-131.9,-67.3,92.5,177.4
valve_ex_2_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-172.8,-143.8,67.3,131.9,92.5,177.4
valve_ex_2_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-143.2,-114.2,67.3,131.9,92.5,177.4
valve_ex_3_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-89.8,-60.8,-131.9,-67.3,92.5,177.4
valve_ex_3_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-60.2,-31.2,-131.9,-67.3,92.5,177.4
valve_ex_4_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-70.8,-41.8,67.3,131.9,92.5,177.4
valve_ex_4_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,-41.2,-12.2,67.3,131.9,92.5,177.4
valve_ex_5_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,12.2,41.2,-131.9,-67.3,92.5,177.4
valve_ex_5_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,41.8,70.8,-131.9,-67.3,92.5,177.4
valve_ex_6_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,31.2,60.2,67.3,131.9,92.5,177.4
valve_ex_6_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,60.8,89.8,67.3,131.9,92.5,177.4
valve_ex_7_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,114.2,143.2,-131.9,-67.3,92.5,177.4
valve_ex_7_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,143.8,172.8,-131.9,-67.3,92.5,177.4
valve_ex_8_1,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,133.2,162.2,67.3,131.9,92.5,177.4
